epoch,train_total,val_total,train_recon,val_recon,train_spec,val_spec,train_smooth,val_smooth,train_sparse,val_sparse
1,0.23482961307998765,0.18487716114212727,0.03864723648586421,0.029853440455064693,0.19456819163085265,0.15314179396834868,0.016141853917756847,0.018819264184426646,0.06670597657587038,0.0646146010607481
2,0.17200486760245498,0.17022160260841765,0.028483952527515115,0.02860041477813803,0.14175755665709935,0.139851765797056,0.017633583355656405,0.01769422096810464,0.06815650938191356,0.06413035392761231
3,0.16179631041147344,0.15631564914666374,0.026991944909674825,0.02631158380415933,0.1330129496096947,0.1280808672822755,0.017914158407122616,0.019231979057578178,0.0693284735945737,0.07413520562494623
4,0.1560332276158691,0.15388211114653225,0.026162321353572483,0.025758209179059185,0.12807204327924057,0.12609692228765323,0.01798862956757038,0.020269793076119546,0.06955764191434276,0.07399351476081487
5,0.15098556601450439,0.14858547572431893,0.02538312627292127,0.025271354297754067,0.12379713816526434,0.12151567622505385,0.018053013991422964,0.017984455965202432,0.06983426291759356,0.06909213604341294
6,0.14650511019742551,0.14849250946065476,0.024671563281096993,0.025120691788093796,0.12001758381492733,0.1215849318124097,0.018159629981353596,0.017868857316929717,0.0701294175907326,0.06724965157436913
7,0.1433877579108627,0.1437383739085033,0.024184523494544218,0.02448317478892618,0.11738118365895975,0.11729427030117347,0.01822051010617346,0.01960929296589617,0.07024108328967514,0.0779085034568762
8,0.14063985534462697,0.13855089704538215,0.023756117193231,0.023511239671116246,0.11505818482816528,0.1131320185445506,0.01825553522524078,0.019076382754177883,0.07042136872975423,0.07768768891692161
9,0.13753344208027826,0.1377820756414841,0.023255744727814186,0.023079367993592188,0.11245367950751786,0.1126911788151182,0.018240177901767334,0.020115293334398803,0.070474621979761,0.072152767112029
10,0.1347355510659889,0.13247566718993517,0.02281086357223555,0.022324605886663858,0.11009028580020437,0.10824331422818118,0.01834401755797997,0.019077473291163813,0.07063699791622903,0.07473105748408827
